Date,Open,High,Low,Close,Adj Close,Volume,Binary Sentiment Analysis
2/18/2020,0.82,0.9,0.8,0.8127,0.8127,441064,1
2/19/2020,0.8598,0.8605,0.78,0.79765,0.79765,75505,1
2/20/2020,0.8,0.85,0.76,0.8199,0.8199,44255,1
2/21/2020,0.8,0.8199,0.731,0.792,0.792,58046,1
2/24/2020,0.825,0.825,0.65,0.72,0.72,238064,1
2/25/2020,0.7418,0.7418,0.5955,0.64,0.64,160926,1
2/26/2020,0.7136,0.7136,0.6545,0.69,0.69,24733,1
2/27/2020,0.631,0.708,0.62,0.705,0.705,117588,1
2/28/2020,0.68595,0.695,0.65,0.66625,0.66625,37532,1
3/2/2020,0.655,0.7,0.545,0.68,0.68,135539,0
3/3/2020,0.7,0.7,0.6,0.65,0.65,58679,1
3/4/2020,0.6999,0.6999,0.635,0.6675,0.6675,5050,1
3/5/2020,0.63,0.63,0.5001,0.605,0.605,127909,1
3/6/2020,0.61,0.61,0.4401,0.49,0.49,312306,1
