Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-10-06,893.1,899.0,885.55,895.9,893.32,233928.0,6473.0,208973652.0,78948.0,33.75,13.45,2.8
2015-10-05,865.0,889.9,862.5,886.25,877.67,369010.0,9673.0,323867893.0,94602.0,25.64,27.4,21.25
2015-10-01,872.0,872.5,858.8,862.3,863.05,173286.0,6118.0,149554004.0,40289.0,23.25,13.7,-9.7
2015-09-30,848.05,863.0,838.6,860.5,853.0,345752.0,8835.0,294924883.0,81719.0,23.64,24.4,12.45
2015-09-29,829.0,849.3,826.55,839.15,837.31,436844.0,9814.0,365774534.0,139144.0,31.85,22.75,10.15
2015-09-28,837.9,840.9,830.0,834.35,834.17,778144.0,8841.0,649106737.0,540499.0,69.46,10.9,-3.55
2015-09-24,848.0,848.0,835.05,837.9,838.83,730116.0,14038.0,612443461.0,435761.0,59.68,12.95,-10.1
2015-09-23,840.0,856.75,840.0,851.4,849.48,416233.0,7535.0,353583177.0,192106.0,46.15,16.75,11.4
2015-09-22,880.1,884.45,845.0,847.45,863.34,723862.0,11738.0,624941087.0,477166.0,65.92,39.45,-32.65
2015-09-21,880.0,887.75,875.7,877.7,881.52,177131.0,5106.0,156144414.0,52048.0,29.38,12.05,-2.3
2015-09-18,877.5,899.0,877.1,895.1,888.56,558538.0,9260.0,496295687.0,299128.0,53.56,21.9,17.6
2015-09-16,870.0,877.4,865.0,872.1,872.13,283855.0,5986.0,247559412.0,124027.0,43.69,12.4,2.1
2015-09-15,862.0,869.65,856.2,867.55,863.4,332748.0,6013.0,287293662.0,154721.0,46.5,13.45,5.55
2015-09-14,861.8,864.4,852.1,863.05,857.97,244111.0,8204.0,209440900.0,84518.0,34.62,12.3,1.25
2015-09-11,873.35,876.3,857.3,861.05,863.29281019159,363751.0,7850.0,314023623.0,159079.0,43.73,19.0,-12.3
2015-09-10,860.1,870.0,856.0,866.95,863.25668276536,368560.0,7536.0,318161883.0,137971.0,37.44,14.0,6.85
2015-09-09,859.0,878.5,851.35,873.05,865.31237130465,410854.0,9521.0,355517049.0,159211.0,38.75,27.15,14.05
2015-09-08,836.0,853.2,826.0,848.95,842.16462729819,288488.0,8512.0,242954389.0,63595.0,22.04,27.2,12.95
2015-09-07,837.0,844.0,827.75,833.05,833.63211930962,177756.0,5562.0,148183111.0,55144.0,31.02,16.25,-3.95
2015-09-04,847.1,850.35,825.25,835.6,835.00257109809,636304.0,12469.0,531315476.0,347951.0,54.68,25.1,-11.5
2015-09-03,853.9,860.4,845.05,853.75,851.9842238328,207655.0,6354.0,176918784.0,62665.0,30.18,15.35,-0.15
2015-09-02,850.0,856.95,843.3,849.3,850.07369779287,368125.0,10196.0,312933380.0,159018.0,43.2,13.65,-0.7
2015-09-01,852.55,853.0,835.2,840.15,841.65722240199,670601.0,12857.0,564416175.0,346389.0,51.65,17.8,-12.4
2015-08-31,870.25,871.2,854.5,856.8,862.27549238175,352115.0,7150.0,303620135.0,173269.0,49.21,16.7,-13.45
